product_category_name_english,jumlah_pembelian,total_harga
bed_bath_table,11115,1036988.68
health_beauty,9670,1258681.34
sports_leisure,8641,988048.97
furniture_decor,8334,729762.49
computers_accessories,7827,911954.32
housewares,6964,632248.66
watches_gifts,5991,1205005.68
telephony,4545,323667.52999999997
garden_tools,4347,485256.46
auto,4235,592720.11
toys,4117,483946.6
cool_stuff,3796,635290.85
perfumery,3419,399124.87
baby,3065,411764.89
electronics,2767,160246.74
stationery,2517,230943.23
fashion_bags_accessories,2031,152823.54
pet_shop,1947,214315.41
office_furniture,1691,273960.7
unknown,1603,179535.28
consoles_games,1137,157465.22
luggage_accessories,1092,140429.98
construction_tools_construction,929,144677.59
home_appliances,771,80171.53
musical_instruments,680,191498.88
small_appliances,679,190648.58
home_construction,604,83088.12
books_general_interest,553,46856.88
food,510,29393.41
furniture_living_room,503,68916.56
home_confort,434,58572.04
drinks,379,22428.7
audio,364,50688.5
market_place,311,28378.47
construction_tools_lights,304,41080.0
air_conditioning,297,55024.96
kitchen_dining_laundry_garden_furniture,281,46328.37
food_drink,278,15179.48
industry_commerce_and_business,268,39669.61
books_technical,267,19096.06
fixed_telephony,264,59583.0
fashion_shoes,262,23562.77
costruction_tools_garden,238,25715.89
home_appliances_2,238,113317.74
agro_industry_and_commerce,212,72530.47
art,209,24202.64
computers,203,222963.13
signaling_and_security,199,21509.23
construction_tools_safety,194,40544.52
christmas_supplies,153,8800.82
fashion_male_clothing,132,10797.82
fashion_underwear_beach,131,9541.55
furniture_bedroom,109,20028.78
costruction_tools_tools,103,15903.95
tablets_printing_image,83,7528.41
small_appliances_home_oven_and_coffee,76,47445.71
cine_photo,72,6933.46
dvds_blu_ray,64,5999.389999999999
books_imported,60,4639.85
fashio_female_clothing,48,2803.64
party_supplies,43,4485.18
diapers_and_hygiene,39,1567.59
music,38,6034.35
furniture_mattress_and_upholstery,38,4368.08
flowers,33,1110.04
fashion_sport,30,2119.51
home_comfort_2,30,760.27
arts_and_craftmanship,24,1814.01
portable_kitchen_and_food_preparators,15,3968.53
cds_dvds_musicals,14,730.0
la_cuisine,14,2054.99
pc_gamer,9,1545.95
fashion_childrens_clothes,8,569.85
security_and_services,2,283.28999999999996
